CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6037216402,California,Los Angeles,3076,1450,1626,8.1,75.3,1.5,0.0,10.3,0.0,2481,69306.0,21426.0,45551.0,7173.0,14.8,14.8,59.8,10.2,26.4,0.0,3.6,84.6,2.0,0.5,4.3,0.0,8.7,25.2,1800,84.2,2.4,13.1,0.2,7.2
6037216700,California,Los Angeles,3973,1826,2147,22.9,32.0,31.9,0.0,9.9,0.0,2914,66182.0,11734.0,38320.0,5147.0,15.4,26.7,54.7,18.0,17.9,2.8,6.7,77.7,5.7,10.9,0.0,0.9,4.9,25.2,1987,77.2,7.4,15.5,0.0,14.8
6037216800,California,Los Angeles,3288,1758,1530,16.9,63.5,8.3,0.8,5.3,0.0,2428,82460.0,8064.0,54838.0,11390.0,11.0,1.3,64.4,11.3,18.3,2.9,3.2,75.9,1.9,6.2,0.7,3.0,12.3,24.0,1950,81.1,7.0,11.9,0.0,9.8
6037216900,California,Los Angeles,5178,2452,2726,29.6,35.3,22.3,0.2,9.7,0.0,3735,63036.0,17928.0,42977.0,7514.0,8.6,22.6,56.0,20.2,15.8,3.8,4.2,71.1,9.5,12.6,1.4,0.7,4.6,27.3,2752,77.1,10.1,12.8,0.0,16.7
6037217001,California,Los Angeles,2778,1367,1411,3.2,84.5,1.7,0.0,3.0,0.0,1729,70000.0,13475.0,41574.0,7666.0,16.7,13.2,55.1,10.8,27.1,7.0,0.0,62.1,8.8,3.8,10.8,0.1,14.4,22.7,1155,72.1,6.3,21.6,0.0,10.7
6037217002,California,Los Angeles,5360,2386,2974,13.2,60.7,12.3,1.1,10.1,0.0,4122,67500.0,15509.0,38951.0,6198.0,12.6,6.4,58.7,13.3,21.6,2.6,3.7,78.9,6.1,5.4,3.2,0.8,5.7,25.0,3142,88.0,4.6,7.4,0.0,6.9
6037217100,California,Los Angeles,5685,2969,2716,29.9,24.3,36.2,0.0,5.9,0.0,3970,58235.0,12637.0,34984.0,5195.0,12.9,12.5,42.0,22.4,26.3,4.3,5.1,76.8,4.2,10.2,2.4,1.1,5.3,29.4,3320,74.9,11.6,13.5,0.0,8.3
6037217200,California,Los Angeles,3997,1876,2121,37.4,21.4,23.3,0.6,11.3,0.0,2427,52386.0,6193.0,38711.0,7559.0,17.1,23.2,51.6,16.7,15.0,8.1,8.5,74.3,2.6,13.9,0.8,2.4,6.1,32.5,2327,84.7,6.5,8.8,0.0,5.6
6037218110,California,Los Angeles,3476,1594,1882,53.0,3.7,22.0,0.0,18.0,0.0,2018,45968.0,6017.0,24060.0,4957.0,19.1,39.1,16.4,37.1,26.6,6.6,13.3,64.2,10.0,18.2,3.0,0.3,4.3,33.3,1810,71.4,8.7,19.9,0.0,11.0
6037218120,California,Los Angeles,5124,2630,2494,66.8,2.8,11.7,0.0,17.9,0.0,2032,33629.0,4860.0,14476.0,1968.0,30.9,36.5,22.0,35.1,21.8,9.9,11.2,66.3,4.8,19.0,2.2,4.0,3.7,34.8,2378,80.9,4.2,14.9,0.0,14.8
