id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
60215389,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91803,626,655706,0,34.0841555,-118.1201868,59150,43209,46899,626.305775265104
6021539,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90042,323,500438,0,34.1154022,-118.2030827,72313,61824,52717,396.544892441295
60215399,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91801,626,447340,0,34.0661708,-118.1198426,43475,26911,45177,478.71534952596
60215409,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91803,626,822045,0,34.0653167,-118.1407539,96812,82543,58097,94.6933628082206
60215419,6,California,CA,Alameda,Monterey Park,Alameda city,Track,Track,91754,626,2488395,0,34.0488369,-118.1482676,83332,60854,66733,320.515926745964
60215429,6,California,CA,Alameda,Monterey Park,Alameda city,Track,Track,91755,626,646868,0,34.0589573,-118.1124273,44073,27978,50932,297.819921284122
60215439,6,California,CA,Alameda,Rosemead,Alameda city,Track,Track,91770,626,983166,0,34.0691099,-118.098744,51982,42382,40576,383.983388099881
60215449,6,California,CA,Alameda,Rosemead,Alameda city,Track,Track,91770,626,729678,0,34.0586251,-118.0948587,60281,47483,43196,274.491751584316
60215459,6,California,CA,Alameda,Monterey Park,Alameda city,Track,Track,91755,626,2714117,130228,34.0472694,-118.1133924,75263,68041,52456,257.553269721193
60215469,6,California,CA,Alameda,Monterey Park,Alameda city,Track,Track,91755,323,3165454,0,34.0369447,-118.1149064,81273,70660,54701,361.983772941564
60215479,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90605,562,6337484,19754,33.9613945,-117.9940889,153156,300000,78923,86.3940349589806
60215489,6,California,CA,Alameda,Pico Rivera,Alameda city,Track,Track,90660,562,1192852,0,34.0139543,-118.0739967,75490,73063,43795,245.586781092189
6021549,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90017,323,548004,0,34.1001272,-118.2316884,51713,43580,42272,617.539292950191
60215499,6,California,CA,Alameda,Pico Rivera,Alameda city,Track,Track,90660,562,2596024,652906,34.0000986,-118.0983071,94645,86962,45351,103.022399114239
60215509,6,California,CA,Alameda,Pico Rivera,Alameda city,Track,Track,90660,562,1415986,0,33.9934787,-118.0803987,54261,40316,37599,414.918263287396
60215519,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90601,562,1417554,0,33.998845,-118.0628302,88766,78658,62006,436.238228834696
60215529,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90601,562,1068199,0,33.9819774,-118.0474017,76059,66975,54021,167.323993125261
60215539,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90602,562,9775485,10502,33.9760214,-118.008555,70285,48157,55732,460.321124323461
60215549,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90602,562,775421,0,33.9679116,-118.0292523,67749,61619,48983,238.617874875095
60215559,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90602,562,643593,0,33.9631765,-118.0393768,61228,46584,41443,268.655235131764
60215569,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90606,562,1750402,11542,33.9775294,-118.0729448,73814,58849,55841,173.892121809094
60215579,6,California,CA,Alameda,Pico Rivera,Alameda city,Track,Track,90660,562,942499,0,33.976375,-118.0968738,65983,65439,48417,197.688600993351
60215589,6,California,CA,Alameda,Pico Rivera,Alameda city,Track,Track,90660,562,1767977,165427,33.9594036,-118.0944003,71310,60145,51452,236.654790640333
6021559,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90065,323,961479,0,34.1174816,-118.2455078,46214,30485,46555,719.211150187913
60215599,6,California,CA,Alameda,Santa Fe Springs,Alameda city,Track,Track,90670,562,6982971,0,33.9548068,-118.0716366,76128,60661,43733,188.923054576238
60215609,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90605,562,1247226,0,33.9459765,-118.0409409,66582,57448,44062,205.786367127021
60215619,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90605,562,1085703,3536,33.9281744,-118.0407064,69604,66345,36775,100.960952884073
60215629,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90604,562,1344849,0,33.9324918,-118.0266537,68760,62108,59694,117.794407719767
60215639,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90604,562,1545869,0,33.9416417,-118.0213686,61829,46629,55131,257.089417429116
60215649,6,California,CA,Alameda,Whittier,Alameda city,Track,Track,90604,562,1545998,0,33.9330431,-118.013351,68039,59540,43409,390.575846973043
60215659,6,California,CA,Alameda,La Mirada,Alameda city,Track,Track,90638,562,3278343,19960,33.9113984,-117.9989996,116058,96936,79934,312.279624640521
60215669,6,California,CA,Alameda,La Mirada,Alameda city,Track,Track,90638,714,1280461,0,33.8962805,-117.9932313,94408,300000,45554,76.5599280833657
60215679,6,California,CA,Alameda,La Mirada,Alameda city,Track,Track,90638,714,5251504,17325,33.8844479,-118.0185593,77654,66595,48563,215.389271956538
60215689,6,California,CA,Alameda,La Mirada,Alameda city,Track,Track,90638,562,1218583,0,33.9099095,-118.033316,81672,77962,49910,158.589052618011
6021569,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90039,323,905660,17207,34.1207814,-118.2647639,87637,300000,54816,623.201041541836
60215699,6,California,CA,Alameda,Montebello,Alameda city,Track,Track,90640,323,659020,1580,34.020019,-118.1126395,64591,49628,52342,244.190710506755
60215709,6,California,CA,Alameda,Monterey Park,Alameda city,Track,Track,91754,323,1798176,3427,34.0298138,-118.1344535,82892,300000,54339,261.354412001417
60215719,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90022,323,855876,0,34.0278115,-118.1479458,47462,44387,24598,238.623674749741
60215729,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90063,323,672831,0,34.0527222,-118.1715837,61626,55034,46070,214.519481811453
60215739,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90063,323,444141,0,34.0432749,-118.1886037,74068,55300,59200,175.86057968589
60215749,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90063,323,498376,0,34.0368402,-118.1815816,42788,27904,37757,432.550161736468
60215759,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90023,323,883751,0,34.016901,-118.182724,31064,19354,30982,258.994301920674
60215769,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90022,323,1162716,0,34.0294081,-118.1747448,46478,300000,33329,278.428851919124
60215779,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90022,323,637121,0,34.0216887,-118.1520851,55025,33183,51979,518.352305777166
60215789,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90022,323,770898,0,34.0132489,-118.1423382,43363,35747,33103,274.092055824921
6021579,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90068,323,1458586,0,34.1124928,-118.3410239,97988,77531,81444,568.760842875521
60215799,6,California,CA,Alameda,Montebello,Alameda city,Track,Track,90640,323,1383490,52595,34.0048535,-118.1062505,43919,35154,35105,454.821874753586
60215809,6,California,CA,Alameda,Downey,Alameda city,Track,Track,90242,323,3299173,441,34.0096885,-118.1751711,56499,42650,46492,116.162055574358
60215819,6,California,CA,Alameda,Oakland,Alameda city,Track,Track,94606,323,1014111,4649,33.9899239,-118.2209803,64016,300000,50034,269.391413701034
60215829,6,California,CA,Alameda,Huntington Park,Alameda city,Track,Track,90255,323,278787,0,33.9832062,-118.2208725,35969,27107,25779,498.327462025737
